City ID,City,Country,Lat,Lng,Temperature,Humidity,Clouds,Wind Speed
2034691,Songjianghe,CN,42.1859,127.479,28.45,76,81,13.42
3931470,Puerto Maldonado,PE,-12.6,-69.1833,68.59,96,100,1.21
2334327,Kisi,NG,9.0833,3.85,91.4,41,79,0.27
1121143,Zabul Province,AF,32.25,67.25,62.4,24,1,14.88
1861416,Ishigaki,JP,24.3448,124.1572,66.33,94,75,18.41
2522325,Agüimes,ES,27.9054,-15.4461,68.23,58,40,18.41
879431,Victoria Falls,ZW,-17.9235,25.843,102.06,13,36,6.08
4301317,Morehead,US,37.2711,-87.1764,32.11,100,1,0.0
3446038,Trindade,BR,-16.6494,-49.4889,71.35,80,100,1.72
3522156,Palizada,MX,18.25,-92.0833,64.74,92,6,2.48
3018095,Fontaine,FR,45.1984,5.6827,48.79,82,76,3.0
750468,Boyabat,TR,41.4689,34.7667,62.6,45,54,3.29
3107418,Tudela,ES,42.0617,-1.6045,58.08,56,97,34.38
2126682,Bilibino,RU,68.0546,166.4372,-6.97,98,61,4.14
3517970,Pochutla,MX,15.7432,-96.4661,72.82,67,74,4.05
568527,Chernyshkovskiy,RU,48.4219,42.2308,47.91,96,100,11.03
2026160,Borogontsy,RU,62.6683,131.1683,5.02,95,100,9.44
3587498,Acajutla,SV,13.5928,-89.8275,77.81,61,99,7.0
5332191,Butte,US,39.6499,-121.5677,44.01,85,1,0.0
3444105,San Matías,BO,-16.3667,-58.4,69.31,85,75,2.77
3870243,Taltal,CL,-25.4,-70.4833,59.13,79,28,1.19
2063056,Port Augusta,AU,-32.5,137.7667,64.71,61,8,12.48
5866063,Kenai,US,60.5544,-151.2583,27.46,93,90,8.05
2444219,Gouré,NE,13.9835,10.2704,95.02,11,4,11.83
